model,signal,top_k,label,layer,n_mentions,mean,q25,median,q75
llava_1_5_7b,raw_attention,32,HALL,16,3487,0.5442007356928248,0.4769800156354904,0.5342933535575867,0.6014217436313629
llava_1_5_7b,raw_attention,32,HALL,17,3487,0.5104517602701737,0.45380766689777374,0.49979740381240845,0.5521974563598633
llava_1_5_7b,raw_attention,32,HALL,18,3487,0.5923185201593071,0.5207370817661285,0.5898104310035706,0.6630021035671234
llava_1_5_7b,raw_attention,32,HALL,19,3487,0.6384781173333965,0.5811323523521423,0.6365730166435242,0.6942824423313141
llava_1_5_7b,raw_attention,32,HALL,20,3487,0.600539913894045,0.527575671672821,0.5930848717689514,0.6667135655879974
llava_1_5_7b,raw_attention,32,HALL,21,3487,0.5362947421153227,0.47534753382205963,0.5294512510299683,0.5899226069450378
llava_1_5_7b,raw_attention,32,HALL,22,3487,0.6163296286804066,0.5505891740322113,0.612114667892456,0.6746847927570343
llava_1_5_7b,raw_attention,32,HALL,23,3487,0.6601177109477511,0.5959005355834961,0.6612043976783752,0.7221289575099945
llava_1_5_7b,raw_attention,32,HALL,24,3487,0.6579203240024281,0.6018891930580139,0.6589371562004089,0.7145160436630249
llava_1_5_7b,raw_attention,32,HALL,25,3487,0.5975566833809655,0.5331440567970276,0.5919701457023621,0.6579041182994843
llava_1_5_7b,raw_attention,32,HALL,26,3487,0.5794022494549391,0.5293086171150208,0.5759045481681824,0.6267391443252563
llava_1_5_7b,raw_attention,32,HALL,27,3487,0.5415735481494404,0.4793505221605301,0.5341851711273193,0.595889687538147
