method,label,layer,metric,count,mean,std,q10,median,q90
ATTN,REAL,27,top1_mass,5,0.07810539044439793,0.07224644147424147,0.02933794744312763,0.04749436676502228,0.1574054390192032
ATTN,REAL,27,top32_mass,5,0.5348664402961731,0.159498983716349,0.4269598960876465,0.4562988877296448,0.7127877831459046
ATTN,REAL,28,normalized_entropy,5,0.6799112677574157,0.00671913107214596,0.67270348072052,0.6810795664787292,0.6858500123023987
ATTN,REAL,28,top1_mass,5,0.17900723218917847,0.023146977931288157,0.15555469393730165,0.1748061627149582,0.20615630447864533
ATTN,REAL,28,top32_mass,5,0.6717434763908386,0.027089629184463414,0.6418861269950866,0.673983097076416,0.7024544477462769
ATTN,REAL,29,normalized_entropy,5,0.7194035172462463,0.08092663861436684,0.6183985471725464,0.7667269110679626,0.7881934404373169
ATTN,REAL,29,top1_mass,5,0.1130717396736145,0.027857011290867567,0.08060308396816254,0.12351590394973755,0.14182988405227662
ATTN,REAL,29,top32_mass,5,0.6440521836280823,0.12737073059672988,0.5238729238510131,0.5856982469558716,0.8022960901260376
ATTN,REAL,3,normalized_entropy,5,0.3911814451217651,0.013641644823163115,0.3779692709445953,0.3885354995727539,0.40703548192977906
ATTN,REAL,3,top1_mass,5,0.3699273705482483,0.010958772187316843,0.3592533469200134,0.36614441871643066,0.3832768082618713
ATTN,REAL,3,top32_mass,5,0.8815873265266418,0.008240115046950394,0.8720619559288025,0.8827495574951172,0.8892793536186219
ATTN,REAL,30,normalized_entropy,5,0.8012933015823365,0.06673986758894691,0.7258818745613098,0.8374963998794556,0.8451267004013061
ATTN,REAL,30,top1_mass,5,0.07100291922688484,0.024007824110888743,0.05091397762298584,0.056160204112529755,0.10094274133443833
ATTN,REAL,30,top32_mass,5,0.5085384249687195,0.12461842440230972,0.4215120315551758,0.43816718459129333,0.6531836867332459
ATTN,REAL,31,normalized_entropy,5,0.7467691779136658,0.042527854659845016,0.7029462218284607,0.7460004687309265,0.789077639579773
ATTN,REAL,31,top1_mass,5,0.12147153615951538,0.020625323596548693,0.09919530153274536,0.11839361488819122,0.14586616456508636
ATTN,REAL,31,top32_mass,5,0.5863235116004943,0.07729634547935126,0.5150590777397156,0.5535515546798706,0.6804926991462708
ATTN,REAL,32,normalized_entropy,5,0.8109662175178528,0.0388480596234919,0.7638348817825318,0.8203848600387573,0.8504487872123718
ATTN,REAL,32,top1_mass,5,0.09378882646560668,0.008205476192902943,0.08584868907928467,0.09032444655895233,0.10382148623466492
ATTN,REAL,32,top32_mass,5,0.4926628828048706,0.07946382226635414,0.40967775583267213,0.48277848958969116,0.587281596660614
ATTN,REAL,4,normalized_entropy,5,0.38408708572387695,0.018856370197449443,0.36463761925697324,0.3865368068218231,0.40448169112205506
ATTN,REAL,4,top1_mass,5,0.3651857614517212,0.021899145081730194,0.3443225800991058,0.35715532302856445,0.39204866886138917
ATTN,REAL,4,top32_mass,5,0.8797799468040466,0.014080389094586703,0.8644300699234009,0.8777130246162415,0.8943231701850891
ATTN,REAL,5,normalized_entropy,5,0.44959238171577454,0.07053230751863745,0.3888325333595276,0.41578981280326843,0.5352392077445984
ATTN,REAL,5,top1_mass,5,0.29874393343925476,0.047197711819676594,0.24558160901069642,0.3021194338798523,0.35090028643608095
ATTN,REAL,5,top32_mass,5,0.8443818926811218,0.05235314481293191,0.7812414526939392,0.8700655698776245,0.8872408628463745
ATTN,REAL,6,normalized_entropy,5,0.5342804253101349,0.08443734777237621,0.44099754095077515,0.5290774703025818,0.6281125903129577
ATTN,REAL,6,top1_mass,5,0.25406127274036405,0.05782697911868136,0.1932849258184433,0.25430163741111755,0.3186277449131012
