model,case_id,layer,strategy,lambda,finite_effect_norm
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_p_ffn_token,0.25,3.451239585876465
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_p_ffn_token,0.5,3.558382034301758
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_p_ffn_token,0.75,3.6681599617004395
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_p_ffn_token,1.0,3.7803597450256348
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_p_ffn_token,1.25,3.8947951793670654
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_8_region,0.0,2.819230794906616
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_8_region,0.25,3.04632568359375
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_8_region,0.5,3.283376693725586
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_8_region,0.75,3.528533458709717
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_8_region,1.0,3.7803597450256348
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,highest_8_region,1.25,4.037738800048828
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,deterministic_random_region,0.0,3.5544745922088623
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,deterministic_random_region,0.25,3.609834909439087
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,deterministic_random_region,0.5,3.6659553050994873
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,deterministic_random_region,0.75,3.722806692123413
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,deterministic_random_region,1.0,3.7803597450256348
qwen3_vl_8b,qwen3_vl_8b:194851:12:9,9,deterministic_random_region,1.25,3.8385860919952393
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_p_ffn_token,0.0,9.800647735595703
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_p_ffn_token,0.25,10.088454246520996
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_p_ffn_token,0.5,10.384376525878906
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_p_ffn_token,0.75,10.68780517578125
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_p_ffn_token,1.0,10.998181343078613
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_p_ffn_token,1.25,11.314986228942871
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_8_region,0.0,7.828364372253418
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_8_region,0.25,8.555558204650879
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_8_region,0.5,9.333334922790527
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_8_region,0.75,10.150378227233887
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_8_region,1.0,10.998181343078613
qwen3_vl_8b,qwen3_vl_8b:194851:12:27,27,highest_8_region,1.25,11.870349884033203
