model,scale,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,raw,visual,1,17,7801,10.146768936124035,9.938407897949219,8.097331047058105,12.24751091003418
qwen2_5_vl_7b,raw,visual,1,18,7801,6.903238447006506,6.65083122253418,5.158702850341797,8.531672477722168
qwen2_5_vl_7b,raw,visual,1,19,7801,6.9754456688296935,6.898658752441406,5.419985771179199,8.335319519042969
qwen2_5_vl_7b,raw,visual,1,20,7801,14.677665643257416,14.916303634643555,12.704766273498535,16.924850463867188
qwen2_5_vl_7b,raw,visual,1,21,7801,11.175189301128984,11.22785758972168,8.612256050109863,13.756857872009277
qwen2_5_vl_7b,raw,visual,1,22,7801,20.611075304972942,20.418760299682617,16.86345672607422,24.24272918701172
qwen2_5_vl_7b,raw,visual,1,23,7801,24.12338945548086,24.367595672607422,19.06121826171875,29.424724578857422
qwen2_5_vl_7b,raw,visual,1,24,7801,22.75468238591078,22.181278228759766,15.42012882232666,29.32393455505371
qwen2_5_vl_7b,raw,visual,1,25,7801,14.17561804265674,13.865550994873047,9.945637702941895,17.87078094482422
qwen2_5_vl_7b,raw,visual,1,26,7801,14.441331535864299,13.680343627929688,9.683114051818848,18.100345611572266
qwen2_5_vl_7b,raw,visual,1,27,7801,31.893243347004642,30.967079162597656,21.743873596191406,40.6485595703125
qwen2_5_vl_7b,raw,visual,1,28,7801,59.80149005960309,58.626487731933594,42.953834533691406,75.33840942382812
qwen2_5_vl_7b,raw,visual_prompt_sum,0,1,916,1.7549408565246902,1.5209695100784302,1.1392762064933777,2.1400827169418335
qwen2_5_vl_7b,raw,visual_prompt_sum,0,2,916,11.909342902976872,10.740286350250244,8.633114099502563,14.197346687316895
qwen2_5_vl_7b,raw,visual_prompt_sum,0,3,916,5.671225024102557,5.108335733413696,4.202964425086975,6.526434898376465
qwen2_5_vl_7b,raw,visual_prompt_sum,0,4,916,6.903633526579261,6.143959999084473,5.178457736968994,7.758343458175659
qwen2_5_vl_7b,raw,visual_prompt_sum,0,5,916,13.356626773505232,12.546789169311523,10.492267608642578,15.454433917999268
qwen2_5_vl_7b,raw,visual_prompt_sum,0,6,916,16.769914466741305,15.851300716400146,13.308871269226074,19.38871669769287
qwen2_5_vl_7b,raw,visual_prompt_sum,0,7,916,7.03269855164024,6.749201774597168,6.0372090339660645,7.764543771743774
qwen2_5_vl_7b,raw,visual_prompt_sum,0,8,916,5.810213051508608,5.543992757797241,4.534859776496887,6.8939865827560425
qwen2_5_vl_7b,raw,visual_prompt_sum,0,9,916,8.949440168761791,8.449199199676514,6.642009854316711,10.647510528564453
qwen2_5_vl_7b,raw,visual_prompt_sum,0,10,916,24.379949188648872,23.886298179626465,20.605969429016113,27.842185974121094
qwen2_5_vl_7b,raw,visual_prompt_sum,0,11,916,7.018349439035857,6.826066255569458,6.081666946411133,7.795356512069702
qwen2_5_vl_7b,raw,visual_prompt_sum,0,12,916,9.598137540588212,9.570424556732178,8.2892005443573,10.97033166885376
