model,split,metric,region,label,n,layer,mean,median,q25,q75
llava_1_5_7b,train,raw_attention,BOS,1,9539,17,0.5543327025521637,0.5542373657226562,0.5241572856903076,0.5813479423522949
llava_1_5_7b,train,raw_attention,BOS,1,9539,18,0.6513636233684389,0.6503872871398926,0.6192083358764648,0.6849808692932129
llava_1_5_7b,train,raw_attention,BOS,1,9539,19,0.6737143099089316,0.6703052520751953,0.6456560492515564,0.7000547647476196
llava_1_5_7b,train,raw_attention,BOS,1,9539,20,0.5999508361600707,0.5943870544433594,0.5563112497329712,0.6370062828063965
llava_1_5_7b,train,raw_attention,BOS,1,9539,21,0.6092722873784471,0.5983538627624512,0.5606388449668884,0.6473066806793213
llava_1_5_7b,train,raw_attention,BOS,1,9539,22,0.7326696132548839,0.7361924648284912,0.6787375211715698,0.7897186279296875
llava_1_5_7b,train,raw_attention,BOS,1,9539,23,0.6808667979171433,0.685981273651123,0.6276347637176514,0.7280526161193848
llava_1_5_7b,train,raw_attention,BOS,1,9539,24,0.7991074173877118,0.8024787902832031,0.7678967714309692,0.830817461013794
llava_1_5_7b,train,raw_attention,BOS,1,9539,25,0.7031184615285557,0.7011508941650391,0.664044976234436,0.7396144866943359
llava_1_5_7b,train,raw_attention,BOS,1,9539,26,0.8518972828123527,0.851318359375,0.8281407356262207,0.8731918334960938
llava_1_5_7b,train,raw_attention,BOS,1,9539,27,0.6932435144367352,0.691197395324707,0.6542021036148071,0.7287044525146484
llava_1_5_7b,train,raw_attention,BOS,1,9539,28,0.8984583016648608,0.9015903472900391,0.8817105293273926,0.9180831909179688
llava_1_5_7b,train,raw_attention,BOS,1,9539,29,0.8276379701226172,0.8290462493896484,0.8118531703948975,0.8461291790008545
llava_1_5_7b,train,raw_attention,BOS,1,9539,30,0.7628274280603282,0.764948844909668,0.7372684478759766,0.7908129692077637
llava_1_5_7b,train,raw_attention,BOS,1,9539,31,0.8166489237533799,0.8222217559814453,0.7895412445068359,0.8463687896728516
llava_1_5_7b,train,raw_attention,BOS,1,9539,32,0.5563590473812048,0.5788168907165527,0.516440361738205,0.6087468266487122
llava_1_5_7b,train,raw_attention,visual,0,2778,1,0.5753542999834187,0.5595893859863281,0.5186554193496704,0.6121815294027328
