model,signal,label,metric,layer,n_images,mean,std,median,q25,q75
llava_1_5_7b,attention_distribution,HALL,top32_mass,22,2005,0.6204295288892161,0.08523547759200255,0.616508960723877,0.5614467859268188,0.6745506525039673
llava_1_5_7b,attention_distribution,HALL,top32_mass,23,2005,0.6622546496682631,0.08407649432918371,0.6620692014694214,0.605076789855957,0.7190605998039246
llava_1_5_7b,attention_distribution,HALL,top32_mass,24,2005,0.6605096408553849,0.07561614744944502,0.660118043422699,0.6079825162887573,0.713540256023407
llava_1_5_7b,attention_distribution,HALL,top32_mass,25,2005,0.6035646225597495,0.08616896682972122,0.5990634560585022,0.5440152883529663,0.6589553356170654
llava_1_5_7b,attention_distribution,HALL,top32_mass,26,2005,0.5831981708729951,0.06766319984838215,0.5812909603118896,0.5377470254898071,0.6257860660552979
llava_1_5_7b,attention_distribution,HALL,top32_mass,27,2005,0.5478770729460919,0.08185643481044579,0.5389257669448853,0.48986345529556274,0.5982410907745361
llava_1_5_7b,attention_distribution,HALL,top32_mass,28,2005,0.6098464443945231,0.06327305702693427,0.6127359867095947,0.5667755603790283,0.6540433168411255
llava_1_5_7b,attention_distribution,HALL,top32_mass,29,2005,0.562820604213158,0.067133489022182,0.5581206679344177,0.5148870944976807,0.6064451932907104
llava_1_5_7b,attention_distribution,HALL,top32_mass,30,2005,0.47845961818671284,0.06270026932313075,0.4741540551185608,0.4338640570640564,0.5171312689781189
llava_1_5_7b,attention_distribution,HALL,top32_mass,31,2005,0.492114719770793,0.05692578046051488,0.48940253257751465,0.452221155166626,0.5283641219139099
llava_1_5_7b,attention_distribution,HALL,top32_mass,32,2005,0.38996152656334,0.04674997768362466,0.3868013918399811,0.3556411862373352,0.4194354712963104
